date,engine,course,race_id,horse,banked_price,sp_dec,won,confident,status,void_reason,fav_horse,fav_sp,fav_won
2026-06-28,v1,Cartmel,rac_11973845,Fort Randall,3.13,3.12,1,1,WON,,,,
2026-07-01,v1,Thirsk,rac_11988548,Indian Run,6.2,5.5,1,1,WON,,,,
2026-07-02,v1,Yarmouth,rac_11988756,Great Mates,3.8,2.62,1,1,WON,,,,
2026-07-03,v1,Chepstow,rac_11997284,Nuptown Girl,3.95,3.5,0,1,LOST,,,,
2026-07-04,v1,Nottingham,rac_11989679,Celestias Comet,2.52,2.88,1,1,WON,,,,
2026-07-05,v1,Ayr,rac_11989744,Theoryofeverything,5.4,5.5,0,1,LOST,,,,
2026-07-06,v1,Ayr,rac_11989913,Penelope's Sister,6.4,4.5,0,1,LOST,,,,
2026-07-07,v1,Pontefract,rac_11990134,Hover On The Wind,5.2,3.75,1,0,WON,,,,
2026-07-08,v1,Fairyhouse,rac_12016446,Rahmi,6.0,5.5,0,1,LOST,,,,
2026-07-09,v1,Newbury,rac_11990667,Grizedale,8.6,4.5,1,1,WON,,,,
2026-07-10,v1,Newmarket,rac_11990823,Aqua Bear,6.5,6.0,0,1,LOST,,,,
2026-07-12,v1,Perth,rac_11987846,Hypotenus,5.8,6.5,0,1,LOST,,,,
2026-07-13,v1,Windsor,rac_11999767,Kalokalo,3.95,4.0,0,1,LOST,,,,
2026-07-15,v1,Catterick,rac_13000000624,Aberama Gold,4.8,4.5,0,1,LOST,,,,
2026-07-19,v1,Newton Abbot,rac_13000003588,Time To Bite,6.2,4.5,0,0,LOST,,,,
2026-07-21,v1,,PASS,NO BET,,,-1,0,PASS,,,,
2026-07-22,v1,Leicester,rac_32291964679,Miss Nightcap,4.4,3.5,1,1,WON,,,,
2026-07-23,v1,Leopardstown,rac_32292046033,Dark Viper,8.4,10.0,1,0,WON,,,,
2026-07-24,v1,Chepstow,rac_32292286221,Kodi Fire,7.8,6.0,0,0,LOST,,,,
2026-07-25,v1,Chester,rac_32292392756,Woodstock,4.9,4.5,0,0,LOST,,,,
2026-07-26,v1,Uttoxeter,rac_32292464425,Divilabother,3.1,2.88,0,1,LOST,,,,
2026-07-27,v1,,PASS,NO BET,,,-1,0,PASS,,,,
2026-07-28,v1,,PASS,NO BET,,,-1,0,PASS,,,,
2026-07-29,v1,,PASS,NO BET,,,-1,0,PASS,,,,
2026-07-30,v1,,PASS,NO BET,,,-1,0,PASS,,,,
2026-07-31,v1,,PASS,NO BET,,,-1,0,PASS,,,,
2026-08-01,v1,Newmarket (July),rac_32293092013,First Officer,7.2,5.5,0,0,LOST,,,,
2026-08-02,v1,Galway,rac_32293243099,Jp's Express,4.4,4.5,0,0,LOST,,,,
2026-08-03,v1,Ripon,rac_32293202422,Poet's Dawn,3.75,3.0,1,1,WON,,,,
2026-08-04,v1,Lingfield,rac_32293308957,Russian Rumour,8.5,11.0,0,1,LOST,,,,
2026-08-05,v1,Pontefract,rac_32293409681,The Good Biscuit,5.2,4.5,0,1,LOST,,,,
2026-08-06,v1,Sandown,rac_32293535586,Thursday Girl,4.7,2.75,0,1,LOST,,,,
2026-08-07,v1,Musselburgh,rac_32293651806,Roc De Fer,2.0,2.1,0,0,LOST,,,,
2026-08-08,v1,Haydock,rac_32293748656,Brighton View,1.73,1.4,0,0,LOST,,,,
2026-08-09,v1,Downpatrick,rac_32293928797,Tropical Twist,4.33,4.0,0,0,LOST,,,,
2026-08-10,v1,,PASS,NO BET,,,-1,0,PASS,,,,
2026-08-11,v1,Carlisle,rac_32294019836,Great,5.6,4.5,0,1,LOST,,,,
2026-08-12,v1,Beverley,rac_32294114749,Glenfinnan,6.2,6.5,1,1,WON,,,,
2026-08-13,v1,,PASS,NO BET,,,-1,0,PASS,,,,
2026-08-14,v1,Thirsk,rac_32294308449,Moulin Booj,4.0,3.25,0,1,LOST,,,,
2026-08-15,v1,,PASS,NO BET,,,-1,0,PASS,,,,
2026-08-16,v1,,PASS,NO BET,,,-1,0,PASS,,,,
2026-08-17,v1,,PASS,NO BET,,,-1,0,PASS,,,,
2026-08-18,v1,Chepstow,rac_32294722967,Rogue Exile,4.7,4.5,0,0,LOST,,,,
2026-08-19,v1,,PASS,NO BET,,,-1,0,PASS,,Smugglers Haven,2.75,0
2026-08-20,v1,Newmarket (July),rac_32294910856,Cherry Cobbler,2.96,2.38,0,0,LOST,,Cherry Cobbler,2.38,0
2026-08-21,v1,Hamilton,rac_32295036761,Dandy Magic,6.6,5.0,0,1,LOST,,City Captain,4.0,1
2026-08-22,v1,Newton Abbot,rac_32295201406,Max Of Stars,10.0,4.33,0,0,LOST,,Arctic Voyage,,-2
2026-08-23,v1,Worcester,rac_32295228524,Pep Talking,9.0,8.0,0,0,LOST,,At The Oche,2.38,0
2026-08-24,v1,Musselburgh,rac_32295319563,The Resdev Scholar,6.0,5.0,0,0,LOST,,Blakefell,3.25,0
2026-08-25,v1,Stratford,rac_32295410602,Duke Of Luckley,8.5,6.0,1,0,WON,,Beorma,1.44,0
2026-08-26,v1,Newbury,rac_32295488082,Lion Of Mali,3.65,2.5,1,0,WON,,Bold Shout,3.25,0
